ticker,as_of_date,market_cap_cr,enterprise_value_cr,pe,ev_ebitda,pb,ps,roe,roce,roa,industry_pe,historical_pe_3y,historical_pe_5y,historical_pe_10y,avg_roe_3y,avg_roe_5y,debt_equity,current_ratio,interest_coverage,revenue_ttm,ebitda_ttm,pat_ttm,revenue_growth_1y,revenue_growth_3y,revenue_growth_5y,ebitda_margin,pat_margin,ebitda_growth_1y,pat_growth_1y,pat_growth_3y,pat_growth_5y,promoter_holding,fii_holding,dii_holding,public_holding,latest_result_date,result_quarter,cash,total_debt,working_capital_days,cfo_ttm,source,ingested_at
MSUMI,2026-06-11,24417.79,24581.75,39.04,23.1,11.3,2.13,32.39,38.88,14.75,27.43,47.72,49.9,49.9,36.5,40.76,0.11,1.62,32.31,11477.58,,,,17.54,23.86,9.24,,,8.72,8.72,9.57,61.73,9.74,17.41,11.08,,,,233.17,,,screener,2026-06-11T12:45:34.591728+05:30
MUTHOOTFIN,2026-06-11,116225.12,255163.77,10.94,10.03,2.96,3.72,30.92,15.77,6.46,20.35,16.62,15.12,14.2,23.86,22.8,3.88,3.88,2.3,31209.23,,,,37.91,22.03,81.35,,,43.11,43.11,22.71,73.35,12.31,10.43,3.92,,,,151806.49,,,screener,2026-06-11T12:45:34.591728+05:30
NAM-INDIA,2026-06-11,67149.2,66922.42,43.9,33.14,14.43,24.79,34.48,43.8,31.01,36.7,34.62,31.89,31.16,31.94,28.27,0.02,1.7,282.71,2708.74,,,,21.46,13.81,66.26,,,28.35,28.35,17.59,71.93,7.35,14.77,5.95,,,,75.34,,,screener,2026-06-11T12:45:34.591728+05:30
NATCOPHARM,2026-06-11,15479.57,14642.57,10.89,8.44,1.69,3.8,16.86,17.14,14.4,31.66,12.66,16.27,22.96,22.89,18.9,0.08,3.01,41.62,4078.3,,,,14.64,14.72,35.22,,,26.49,26.49,27.73,49.42,17.37,5.46,27.74,,,,713.9,,,screener,2026-06-11T12:45:34.591728+05:30
NATIONALUM,2026-06-11,69534.9,61186.99,12.0,7.12,3.2,3.9,29.42,39.59,23.46,15.77,13.12,10.01,15.26,25.72,23.14,0.0,3.6,78.64,17843.05,,,,7.77,14.78,44.43,,,59.34,59.34,34.88,51.28,22.27,10.75,15.69,,,,59.83,,,screener,2026-06-11T12:45:34.591728+05:30
NAUKRI,2026-06-11,62326.2,62208.82,43.75,27.86,1.64,18.97,3.91,5.43,3.83,24.69,147.12,136.32,86.22,2.57,3.85,0.01,2.47,76.92,3284.73,,,,11.88,23.83,35.69,,,90.76,90.76,61.78,37.5,27.97,23.43,10.34,,,,258.53,,,screener,2026-06-11T12:45:34.591728+05:30
NAVA,2026-06-11,16140.97,16252.53,20.49,8.53,1.83,3.76,9.63,13.0,8.11,27.38,12.92,7.22,6.67,13.85,14.97,0.25,7.59,126.9,4290.92,,,,6.74,10.98,40.02,,,-13.07,-13.07,13.41,50.11,10.61,0.52,38.75,,,,2226.41,,,screener,2026-06-11T12:45:34.591728+05:30
NAVINFLUOR,2026-06-11,36376.33,37551.21,54.4,32.74,9.18,10.98,20.26,21.37,11.93,28.96,67.22,72.36,48.02,14.72,15.38,0.32,2.61,8.47,3313.9,,,,16.84,22.95,32.64,,,22.15,22.15,22.16,27.11,23.78,27.61,21.49,,,,1271.75,,,screener,2026-06-11T12:45:34.591728+05:30
NBCC,2026-06-11,27499.5,20984.04,41.54,22.7,9.15,2.13,24.08,30.95,4.56,17.24,45.37,36.07,38.52,24.78,22.73,0.0,1.18,30373.0,12888.61,,,,13.24,13.14,4.79,,,19.67,19.67,24.18,61.75,4.99,10.75,22.5,,,,0.26,,,screener,2026-06-11T12:45:34.591728+05:30
NCC,2026-06-11,8931.14,11099.41,12.78,5.64,1.12,0.43,9.2,16.82,3.19,17.24,16.88,14.64,15.05,10.61,9.75,0.44,1.36,2.32,20823.0,,,,10.21,21.24,8.82,,,6.04,6.04,22.0,22.81,12.11,16.4,48.68,,,,3457.0,,,screener,2026-06-11T12:45:34.591728+05:30
NESTLEIND,2026-06-11,277542.24,276645.53,80.48,51.78,52.27,11.99,73.17,84.14,26.86,48.25,76.98,78.81,75.05,92.3,97.54,0.08,0.96,29.33,23154.6,,,,11.07,11.64,22.92,,,13.07,13.07,10.62,62.76,9.74,12.4,15.09,,,,444.16,,,screener,2026-06-11T12:45:34.591728+05:30
NETWEB,2026-06-11,24295.75,23988.63,118.04,78.99,33.56,11.13,32.84,37.5,13.08,23.57,149.33,149.33,149.33,29.05,31.77,0.39,1.44,22.35,2183.56,,,,69.93,72.54,13.04,,,63.67,63.67,90.38,66.98,9.29,4.68,19.03,,,,282.23,,,screener,2026-06-11T12:45:34.591728+05:30
NEULANDLAB,2026-06-11,21904.46,21850.77,60.19,36.14,11.66,10.83,21.42,26.59,14.25,31.66,59.76,29.06,33.19,20.57,18.45,0.16,2.09,21.42,2022.99,,,,19.31,16.64,28.4,,,30.39,30.39,38.74,32.64,20.46,15.84,31.08,,,,301.27,,,screener,2026-06-11T12:45:34.591728+05:30
NH,2026-06-11,38720.26,42448.56,45.43,24.8,8.52,4.9,20.87,15.36,8.63,45.75,35.08,38.04,46.88,24.66,26.05,1.29,2.15,5.18,7896.04,,,,20.39,25.04,20.4,,,12.49,12.49,155.3,63.27,9.98,9.14,16.98,,,,5857.49,,,screener,2026-06-11T12:45:34.591728+05:30
NHPC,2026-06-11,72766.23,121441.88,19.34,16.65,1.75,6.26,9.29,5.73,3.79,27.38,25.84,16.09,10.62,8.72,9.27,1.26,1.04,3.74,11615.29,,,,3.07,3.78,45.08,,,-1.19,-1.19,2.12,67.4,10.34,10.78,10.36,,,,52326.69,,,screener,2026-06-11T12:45:34.591728+05:30
NIACL,2026-06-11,24448.08,5158.19,17.32,4.18,0.71,0.49,4.44,3.87,1.29,41.7,26.24,26.28,26.45,4.08,2.54,0.0,0.43,,49781.75,,,,6.68,8.53,0.68,,,98.51,98.51,-2.97,85.44,1.01,11.17,2.39,,,,0.0,,,screener,2026-06-11T12:45:34.591728+05:30
NIVABUPA,2026-06-11,15569.19,15660.53,119.05,123.5,4.11,2.33,3.82,3.45,1.21,41.7,147.11,147.11,147.11,5.64,2.69,0.07,0.26,,6694.69,,,,32.88,36.49,1.86,,,127.48,127.48,35.86,55.36,10.6,16.49,17.56,,,,250.0,,,screener,2026-06-11T12:45:34.591728+05:30
NLCINDIA,2026-06-11,42548.92,69598.48,12.08,9.31,2.01,2.43,17.5,10.45,6.12,27.38,13.88,12.39,7.09,13.33,12.4,1.3,0.8,4.17,17489.53,,,,2.66,11.97,31.95,,,15.67,15.67,25.53,72.2,3.61,13.97,5.91,,,,27891.78,,,screener,2026-06-11T12:45:34.591728+05:30
NMDC,2026-06-11,77737.28,72756.77,10.4,6.77,2.29,2.42,23.37,27.58,16.68,18.67,10.13,8.95,8.63,23.61,26.45,0.19,2.43,84.74,32070.89,,,,21.99,15.85,28.87,,,16.81,16.81,3.54,60.79,13.6,13.76,11.84,,,,6406.81,,,screener,2026-06-11T12:45:34.591728+05:30
NSLNISP,2026-06-11,13609.73,17422.93,231.76,10.86,1.04,1.0,0.45,3.06,0.21,18.22,249.8,249.8,249.8,-8.86,-4.98,0.35,0.53,1.16,13641.81,,,,,,11.13,,,,,467.27,60.79,4.85,15.85,18.5,,,,4613.18,,,screener,2026-06-11T12:45:34.591728+05:30
NTPC,2026-06-11,340062.08,603062.88,12.55,10.38,1.67,1.81,13.97,8.33,5.09,27.38,14.67,13.13,11.97,13.53,13.1,1.33,0.83,2.79,187384.63,,,,2.07,10.93,28.19,,,16.81,16.81,11.93,51.1,16.54,29.13,3.1,,,,271004.58,,,screener,2026-06-11T12:45:34.591728+05:30
NTPCGREEN,2026-06-11,82240.98,113339.62,157.36,42.42,4.35,28.77,2.79,3.53,0.99,27.38,162.83,162.83,162.83,3.66,,1.67,0.24,1.77,2858.42,,,,156.34,,86.59,,,45.06,45.06,,89.01,1.61,5.07,4.3,,,,31716.14,,,screener,2026-06-11T12:45:34.591728+05:30
NUVAMA,2026-06-11,27683.23,17255.63,26.58,6.97,6.7,5.98,27.36,17.49,3.31,20.69,25.79,25.79,25.79,27.71,24.06,2.8,1.4,2.42,4630.69,,,,27.71,27.32,52.72,,,50.6,50.6,58.69,54.13,16.94,8.3,20.62,,,,11543.52,,,screener,2026-06-11T12:45:34.591728+05:30
NUVOCO,2026-06-11,10834.34,15654.18,27.77,8.32,1.06,0.96,4.05,7.07,2.03,28.42,46.48,83.93,83.93,2.02,2.26,0.48,0.45,2.5,11338.29,,,,2.31,8.65,16.38,,,-2.28,-2.28,101.77,72.02,4.88,18.35,4.75,,,,4916.1,,,screener,2026-06-11T12:45:34.591728+05:30
NYKAA,2026-06-11,74788.74,75706.52,357.2,96.43,52.0,7.46,15.29,17.2,4.98,48.71,1147.5,1116.0,1116.0,7.75,5.89,0.86,1.16,3.97,10022.35,,,,24.9,32.64,7.51,,,121.53,121.53,27.74,52.09,12.4,25.35,10.15,,,,1237.81,,,screener,2026-06-11T12:45:34.591728+05:30
OBEROIRLTY,2026-06-11,57692.79,58821.44,23.59,16.5,3.22,9.6,14.55,17.28,10.18,26.02,28.01,27.79,28.17,14.28,14.1,0.16,3.7,14.27,6009.06,,,,12.75,23.97,55.89,,,9.21,9.21,27.13,67.7,15.42,14.58,2.28,,,,2825.4,,,screener,2026-06-11T12:45:34.591728+05:30
OFSS,2026-06-11,80858.37,75381.07,30.63,20.11,10.33,10.54,32.61,45.28,26.39,33.97,30.63,22.4,23.16,30.33,28.68,0.0,5.44,1473.04,7672.1,,,,10.42,9.01,45.33,,,13.47,13.47,8.42,72.44,8.04,9.12,10.38,,,,32.5,,,screener,2026-06-11T12:45:34.591728+05:30
OIL,2026-06-11,70106.8,101975.93,10.58,7.55,1.21,2.07,12.29,11.56,6.6,31.96,9.79,5.84,8.63,14.31,16.91,0.65,1.09,8.96,33946.13,,,,-2.02,14.02,30.77,,,-8.74,-8.74,11.85,56.66,7.67,19.43,6.36,,,,37477.98,,,screener,2026-06-11T12:45:34.591728+05:30
OLAELEC,2026-06-11,20860.25,22081.25,,-28.86,5.93,9.26,-43.16,-19.56,-19.43,35.63,,,,,,0.82,1.14,-3.81,2253.0,,,,-5.04,382.67,-43.14,,,-11.72,-11.72,,34.59,4.0,7.01,49.64,,,,2763.0,,,screener,2026-06-11T12:45:34.591728+05:30
OLECTRA,2026-06-11,10391.41,10599.76,58.57,30.09,8.47,4.49,15.59,21.05,7.58,28.15,109.6,119.3,89.61,13.16,10.89,0.31,1.58,5.01,2312.17,,,,28.46,52.39,14.27,,,39.36,39.36,85.41,50.02,7.11,0.68,42.2,,,,380.3,,,screener,2026-06-11T12:45:34.591728+05:30
ONESOURCE,2026-06-11,19224.96,20631.33,,64.62,3.33,13.52,-1.09,0.57,-0.81,31.66,445.22,445.22,445.22,-2.39,-9.81,0.26,0.99,0.33,1421.59,,,,232.39,131.48,21.4,,,23.91,23.91,8.0,30.48,17.5,20.61,31.4,,,,1503.94,,,screener,2026-06-11T12:45:34.591728+05:30
ONGC,2026-06-11,319161.63,461299.08,7.61,3.89,0.86,0.48,11.66,14.15,6.49,31.96,7.68,7.05,8.16,12.7,14.21,0.47,0.84,6.22,662247.32,,,,1.55,16.86,15.57,,,0.71,0.71,21.43,58.89,7.97,19.3,3.54,,,,174316.49,,,screener,2026-06-11T12:45:34.591728+05:30
PAGEIND,2026-06-11,42680.3,42524.78,54.05,34.95,28.41,8.13,54.29,64.38,28.73,23.33,73.75,76.02,73.23,47.02,48.0,0.18,1.72,22.3,5246.78,,,,3.63,13.12,21.97,,,11.41,11.41,18.3,42.89,19.0,32.5,4.9,,,,276.81,,,screener,2026-06-11T12:45:34.591728+05:30
PARADEEP,2026-06-11,12624.16,19138.92,12.28,8.33,1.86,0.58,18.89,17.13,7.06,16.23,22.39,17.02,17.02,13.16,13.58,1.02,1.15,3.59,21826.34,,,,17.83,33.41,9.86,,,48.32,48.32,35.17,57.8,8.36,15.49,18.25,,,,6906.28,,,screener,2026-06-11T12:45:34.591728+05:30
PATANJALI,2026-06-11,45504.68,47547.15,22.61,24.62,3.45,1.13,16.46,12.0,11.74,20.1,59.14,48.38,49.67,12.34,12.51,0.21,2.14,12.93,40169.58,,,,8.41,19.74,4.36,,,31.21,31.21,24.26,68.25,9.2,12.06,10.49,,,,2788.83,,,screener,2026-06-11T12:45:34.591728+05:30
PAYTM,2026-06-11,66306.84,53475.84,90.94,39.49,4.16,7.86,4.7,5.01,3.21,23.53,136.79,136.79,136.79,-4.48,-9.12,0.01,2.55,43.67,8437.0,,,,1.83,24.67,5.93,,,34.08,34.08,19.5,0.0,49.4,23.08,27.51,,,,194.0,,,screener,2026-06-11T12:45:34.591728+05:30
PCBL,2026-06-11,11036.61,15737.66,51.4,14.55,2.78,1.35,5.58,7.75,1.87,49.65,28.76,19.2,16.43,10.98,12.92,1.25,0.83,1.68,8189.3,,,,12.35,25.22,12.74,,,-20.49,-20.49,-7.09,53.38,5.56,10.99,28.9,,,,4989.06,,,screener,2026-06-11T12:45:34.591728+05:30
PERSISTENT,2026-06-11,77204.44,76463.64,39.95,25.69,9.83,5.23,27.3,34.43,19.23,20.32,57.06,52.18,36.01,25.38,24.87,0.06,2.43,35.4,14748.45,,,,20.88,28.63,18.95,,,27.67,27.67,35.91,30.29,22.11,30.47,16.14,,,,477.45,,,screener,2026-06-11T12:45:34.591728+05:30
PETRONET,2026-06-11,39502.5,31729.83,10.07,5.12,1.77,0.91,18.56,22.74,14.29,14.74,11.55,11.09,12.84,20.47,21.91,0.11,5.67,22.59,43494.91,,,,-10.12,10.82,12.27,,,5.56,5.56,5.88,50.0,27.13,12.94,9.95,,,,2341.46,,,screener,2026-06-11T12:45:34.591728+05:30
PFC,2026-06-11,138637.28,1146468.06,5.32,10.2,1.04,1.2,20.68,9.71,2.78,17.88,5.96,4.84,4.45,20.98,20.91,7.62,1.15,1.62,115443.61,,,,14.06,10.01,97.24,,,17.69,17.69,17.14,55.99,19.64,15.05,9.32,,,,1012503.46,,,screener,2026-06-11T12:45:34.591728+05:30
PFIZER,2026-06-11,20426.39,17385.86,26.94,15.92,4.84,8.11,18.02,24.25,15.43,31.66,35.09,34.81,34.89,16.91,18.39,0.02,6.06,109.1,2519.65,,,,1.29,2.39,35.88,,,8.07,8.07,8.8,63.92,2.81,16.89,16.36,,,,70.23,,,screener,2026-06-11T12:45:34.591728+05:30
PGEL,2026-06-11,13326.94,13534.1,67.78,30.64,4.4,2.52,6.69,10.31,3.55,37.18,59.8,57.53,57.6,11.09,11.84,0.2,1.46,3.48,5288.02,,,,34.78,49.71,7.32,,,36.23,36.23,75.11,43.41,9.75,24.49,22.35,,,,596.53,,,screener,2026-06-11T12:45:34.591728+05:30
PHOENIXLTD,2026-06-11,62608.56,67108.5,50.45,23.9,5.7,14.16,11.58,12.83,7.13,26.02,54.42,55.29,50.85,11.0,10.08,0.48,1.29,6.33,4422.8,,,,19.13,33.59,59.62,,,14.39,14.39,83.42,47.25,32.97,16.14,3.64,,,,5323.01,,,screener,2026-06-11T12:45:34.591728+05:30
PIDILITIND,2026-06-11,152325.35,152443.66,61.93,40.3,14.02,10.43,23.89,30.97,16.87,28.96,77.19,88.69,71.3,23.3,22.06,0.04,2.38,62.49,14600.83,,,,7.36,14.89,24.09,,,24.55,24.55,16.66,69.32,11.75,9.56,9.29,,,,417.21,,,screener,2026-06-11T12:45:34.591728+05:30
PIIND,2026-06-11,42192.78,40352.78,33.98,20.02,3.74,6.28,11.6,14.69,9.66,21.88,34.85,39.01,38.45,16.32,16.45,0.03,4.22,98.13,6713.7,,,,1.13,7.96,25.32,,,0.3,0.3,10.94,46.09,15.87,31.2,6.69,,,,342.3,,,screener,2026-06-11T12:45:34.591728+05:30
PINELABS,2026-06-11,17034.64,9249.37,148.29,18.69,2.97,6.28,2.46,4.16,0.96,23.53,144.16,144.16,144.16,-2.93,-3.73,0.07,1.52,2.67,2710.59,,,,19.27,32.25,13.22,,,35.7,35.7,32.29,0.0,4.8,11.81,83.39,,,,440.65,,,screener,2026-06-11T12:45:34.591728+05:30
PIRAMALFIN,2026-06-11,43975.48,118396.75,168.66,15.96,1.6,3.71,0.94,6.49,0.25,14.64,83.47,83.47,11.57,0.66,4.65,2.84,5.12,1.02,11852.49,,,,21.28,6.21,59.49,,,-54.95,-54.95,15.07,46.16,14.63,18.8,20.1,,,,79989.21,,,screener,2026-06-11T12:45:34.591728+05:30
PNB,2026-06-11,121193.08,1896141.4,6.58,16.1,0.81,0.93,12.99,6.13,0.95,8.13,8.34,11.57,15.03,12.42,9.4,12.22,4.83,1.32,130772.09,,,,14.62,9.8,74.74,,,76.45,76.45,48.17,70.08,6.39,16.05,7.48,,,,1832353.82,,,screener,2026-06-11T12:45:34.591728+05:30
PNBHOUSING,2026-06-11,25042.68,92902.07,10.95,11.56,1.29,2.94,12.7,9.4,2.6,14.64,13.66,12.86,13.15,12.22,11.41,3.7,1.35,1.59,8504.52,,,,9.22,2.26,94.5,,,29.87,29.87,19.7,28.04,16.6,44.07,11.28,,,,71198.6,,,screener,2026-06-11T12:45:34.591728+05:30
POLICYBZR,2026-06-11,70042.75,69643.05,104.58,79.1,9.6,10.31,9.75,10.31,8.25,23.53,274.21,274.21,274.21,5.63,-0.96,0.05,4.41,20.07,6794.02,,,,38.49,50.27,7.48,,,50.0,50.0,41.91,0.0,39.94,36.72,23.19,,,,360.15,,,screener,2026-06-11T12:45:34.591728+05:30
POLYCAB,2026-06-11,142544.39,141897.44,53.33,33.45,11.86,4.94,24.48,34.32,15.83,26.7,48.22,45.16,41.11,23.12,21.85,0.02,1.84,15.87,28883.79,,,,26.98,26.86,13.87,,,30.04,30.04,25.17,61.5,18.21,7.95,12.33,,,,235.52,,,screener,2026-06-11T12:45:34.591728+05:30
POLYMED,2026-06-11,14393.05,14658.76,43.96,25.8,4.64,7.68,11.15,14.04,9.16,34.88,61.93,60.21,47.7,14.35,14.33,0.11,3.37,24.74,1875.26,,,,18.93,19.02,23.59,,,23.87,23.87,19.35,62.42,5.92,15.6,16.08,,,,353.58,,,screener,2026-06-11T12:45:34.591728+05:30
POONAWALLA,2026-06-11,33152.76,81294.88,61.19,22.68,2.98,4.88,5.85,7.5,1.14,20.35,48.58,52.18,36.33,5.94,6.17,4.68,0.83,1.26,6790.18,,,,46.11,23.97,52.71,,,4.66,4.66,24.32,59.03,11.25,16.67,12.49,,,,48435.8,,,screener,2026-06-11T12:45:34.591728+05:30
POWERGRID,2026-06-11,267903.9,407054.09,16.83,11.3,2.68,5.73,16.49,9.74,5.68,33.22,17.31,13.9,14.25,17.2,17.94,1.47,0.62,2.72,46732.87,,,,0.82,3.35,75.05,,,1.29,1.29,4.35,51.34,25.02,20.05,3.51,,,,148070.6,,,screener,2026-06-11T12:45:34.591728+05:30
POWERINDIA,2026-06-11,148715.91,144112.53,144.7,96.58,28.75,18.25,21.89,29.02,9.95,35.14,198.56,169.11,164.53,17.97,16.86,0.02,1.55,108.6,8147.71,,,,22.17,18.96,15.37,,,121.78,121.78,53.66,71.31,11.68,6.95,10.07,,,,86.1,,,screener,2026-06-11T12:45:34.591728+05:30
PPLPHARMA,2026-06-11,21800.8,26251.75,,22.02,2.68,2.46,-3.58,2.69,-1.75,31.66,551.9,551.9,551.9,-0.8,0.03,0.7,1.51,1.06,8869.08,,,,7.79,7.03,10.39,,,-24.46,-24.46,,34.86,30.17,15.61,19.01,,,,5674.59,,,screener,2026-06-11T12:45:34.591728+05:30
PREMIERENE,2026-06-11,48391.22,50008.9,32.05,19.35,11.17,6.18,42.35,33.32,17.07,27.95,45.29,45.29,45.29,45.8,40.36,0.86,1.83,13.47,7824.37,,,,76.27,61.99,30.38,,,369.81,369.81,132.73,63.94,5.72,13.69,16.28,,,,3707.15,,,screener,2026-06-11T12:45:34.591728+05:30
PRESTIGE,2026-06-11,56923.15,72202.15,47.61,17.18,3.5,4.49,7.54,10.38,1.98,26.02,57.9,42.07,33.53,6.22,6.44,1.09,1.15,2.08,12685.4,,,,15.12,11.86,29.1,,,18.36,18.36,20.91,60.94,14.2,22.6,2.26,,,,17659.4,,,screener,2026-06-11T12:45:34.591728+05:30
PTCIL,2026-06-11,27661.23,27786.01,272.37,161.28,18.34,45.89,7.02,8.43,5.74,24.23,363.35,277.73,173.46,6.99,7.35,0.17,3.44,15.69,602.78,,,,40.09,29.84,21.86,,,57.94,57.94,101.33,59.72,3.95,9.21,27.12,,,,261.35,,,screener,2026-06-11T12:45:34.591728+05:30
PVRINOX,2026-06-11,9319.15,15506.65,39.38,6.81,1.28,1.4,3.28,6.96,1.48,79.61,145.85,145.85,56.54,-0.53,-3.47,0.92,0.47,1.38,6646.2,,,,21.01,88.4,31.52,,,39.27,39.27,18.26,27.53,17.86,36.43,18.19,,,,6779.1,,,screener,2026-06-11T12:45:34.591728+05:30
PWL,2026-06-11,30069.68,29995.57,,49.85,6.63,7.71,-0.48,4.02,-0.23,22.77,,,,,,0.23,2.9,1.61,3899.54,,,,73.68,,9.49,,,22.88,22.88,,72.3,11.56,13.46,2.68,,,,1052.11,,,screener,2026-06-11T12:45:34.591728+05:30
RADICO,2026-06-11,46279.28,46689.39,74.99,44.94,13.95,7.65,20.33,24.21,12.8,42.42,91.65,75.2,52.41,15.39,14.24,0.15,1.92,13.83,6050.43,,,,24.52,20.58,16.88,,,41.2,41.2,17.36,40.2,17.63,27.35,14.82,,,,498.44,,,screener,2026-06-11T12:45:34.591728+05:30
RAILTEL,2026-06-11,9563.97,8973.58,26.34,13.07,4.22,2.24,17.07,22.78,6.62,18.4,39.59,32.16,30.08,16.32,14.78,0.03,1.32,131.67,4277.48,,,,29.77,26.18,14.88,,,24.22,24.22,20.98,72.84,3.72,0.99,22.44,,,,63.72,,,screener,2026-06-11T12:45:34.591728+05:30
RAINBOW,2026-06-11,13685.6,14542.69,48.98,24.73,8.3,8.04,17.93,18.25,10.97,45.75,56.63,53.37,53.37,17.85,19.87,0.54,3.61,5.64,1703.08,,,,13.22,21.24,31.95,,,9.85,9.85,47.55,49.84,17.24,21.12,11.68,,,,890.98,,,screener,2026-06-11T12:45:34.591728+05:30
RAMCOCEM,2026-06-11,19959.6,23603.41,77.01,15.98,2.49,2.21,3.34,6.12,1.57,28.42,80.8,62.4,30.68,3.25,5.46,0.48,0.54,1.76,9028.76,,,,3.44,11.28,15.9,,,-6.1,-6.1,-19.84,42.55,8.04,28.92,17.1,,,,3871.1,,,screener,2026-06-11T12:45:34.591728+05:30
RBLBANK,2026-06-11,22221.85,164022.32,27.05,18.19,1.35,1.55,5.13,5.77,0.5,14.66,14.38,13.53,22.86,5.91,4.91,9.48,4.09,1.13,14335.55,,,,14.0,11.47,34.14,,,-2.34,-2.34,10.08,0.0,20.23,42.97,36.44,,,,155812.07,,,screener,2026-06-11T12:45:34.591728+05:30
RECLTD,2026-06-11,90016.76,603130.86,5.56,10.57,1.07,1.51,19.97,9.71,2.6,17.88,6.67,5.43,4.74,21.14,21.0,6.05,1.17,1.57,59584.16,,,,14.7,10.88,95.67,,,13.48,13.48,14.26,52.63,15.79,16.36,15.17,,,,514725.19,,,screener,2026-06-11T12:45:34.591728+05:30
REDINGTON,2026-06-11,18328.77,20048.89,11.47,8.3,1.81,0.15,16.89,17.47,4.52,24.9,13.39,12.19,10.13,16.04,18.19,0.28,1.41,6.16,119162.36,,,,14.5,15.91,1.87,,,4.66,4.66,15.91,0.0,61.49,17.12,21.33,,,,2841.62,,,screener,2026-06-11T12:45:34.591728+05:30
RELIANCE,2026-06-11,1712542.34,1969527.34,22.01,9.6,1.89,1.62,8.91,10.26,4.47,5.68,25.8,25.66,24.22,8.77,8.64,0.45,0.92,5.45,1055780.0,165000.0,80000.0,8.8,12.5,17.76,16.96,8.2,12.5,5.23,5.23,11.98,50.0,18.67,20.46,10.7,2025-01-13,Q3FY25,48000.0,402962.0,45.0,88000.0,screener,2026-06-11T12:45:34.591728+05:30
RITES,2026-06-11,9616.87,6677.31,23.44,9.85,3.58,3.98,15.42,22.0,7.54,17.24,30.72,23.57,15.46,15.84,17.91,0.0,1.67,160.94,2415.08,,,,-2.78,4.86,22.94,,,-8.83,-8.83,-0.9,72.2,3.47,8.7,15.62,,,,6.59,,,screener,2026-06-11T12:45:34.591728+05:30
RKFORGE,2026-06-11,10211.53,12497.4,126.12,19.59,3.07,2.41,2.56,5.6,1.18,27.43,41.9,37.38,29.43,9.78,12.07,0.74,1.15,1.45,4238.08,,,,9.9,26.88,14.74,,,-31.13,-31.13,30.75,43.32,21.75,4.45,30.37,,,,2448.77,,,screener,2026-06-11T12:45:34.591728+05:30
RPOWER,2026-06-11,10831.58,23938.45,,8.76,0.69,1.42,-0.91,6.1,-0.36,27.38,41.18,40.47,12.64,-5.58,-7.21,0.92,0.45,1.14,7619.71,,,,0.47,-0.81,31.02,,,23.79,23.79,,24.98,14.12,3.12,57.75,,,,14812.03,,,screener,2026-06-11T12:45:34.591728+05:30
RRKABEL,2026-06-11,24031.58,24277.89,47.45,28.71,9.34,2.47,21.43,28.14,12.45,26.7,48.86,48.86,48.86,18.46,17.73,0.13,1.65,10.01,9722.36,,,,20.19,28.98,8.06,,,39.35,39.35,30.66,61.65,9.1,13.33,15.91,,,,337.03,,,screener,2026-06-11T12:45:34.591728+05:30
RVNL,2026-06-11,46767.0,50617.24,53.49,30.93,4.72,2.29,9.02,10.8,4.13,17.24,56.54,24.74,9.68,13.82,15.56,0.49,1.91,3.82,20412.12,2100.0,1950.0,18.5,22.5,5.79,3.76,8.9,22.5,-13.29,-13.29,-2.48,72.84,4.86,6.42,15.87,2025-02-08,Q3FY25,4500.0,4818.49,55.0,2100.0,screener,2026-06-11T12:45:34.591728+05:30
SAGILITY,2026-06-11,18514.7,19057.31,19.53,10.26,1.92,2.57,10.54,13.37,8.07,23.57,32.06,32.06,32.06,7.58,5.9,0.11,1.55,13.82,7192.85,,,,19.47,,24.47,,,85.91,85.91,,50.95,10.02,22.28,16.75,,,,1110.53,,,screener,2026-06-11T12:45:34.591728+05:30
SAIL,2026-06-11,74679.88,105875.08,19.5,7.95,1.22,0.67,6.43,7.79,2.81,18.22,17.61,14.64,13.82,5.8,8.83,0.53,0.82,3.4,110810.84,,,,1.99,9.9,10.83,,,25.38,25.38,-1.5,65.0,5.01,18.4,11.58,,,,31927.71,,,screener,2026-06-11T12:45:34.591728+05:30
SAILIFE,2026-06-11,25305.38,25482.96,71.35,37.46,10.18,11.54,15.39,19.55,10.48,31.66,63.78,63.78,63.78,12.72,9.39,0.12,1.69,13.08,2192.49,,,,21.67,23.61,28.79,,,226.36,226.36,42.17,34.61,21.17,31.54,12.69,,,,288.45,,,screener,2026-06-11T12:45:34.591728+05:30
SAMMAANCAP,2026-06-11,19897.56,60790.21,,17.77,1.05,2.44,-3.18,4.92,-0.9,14.64,9.69,9.43,10.03,-2.06,1.15,2.73,5.33,0.59,8166.16,,,,-2.16,-3.97,41.6,,,,,,0.0,46.21,12.08,39.81,,,,51853.07,,,screener,2026-06-11T12:45:34.591728+05:30
SARDAEN,2026-06-11,18394.3,20161.73,16.77,9.96,2.49,3.23,16.09,17.39,10.25,18.22,17.7,13.7,9.18,14.76,17.31,0.36,4.5,6.89,5690.45,,,,10.55,20.95,31.41,,,22.37,22.37,24.03,73.16,3.5,3.32,20.01,,,,2631.92,,,screener,2026-06-11T12:45:34.591728+05:30
SAREGAMA,2026-06-11,8577.15,8500.46,40.25,22.39,5.06,8.71,13.02,17.76,9.62,39.6,43.82,44.12,37.95,12.87,13.47,0.04,1.75,54.79,984.62,,,,10.16,17.38,34.2,,,4.79,4.79,13.64,60.84,12.18,7.1,19.42,,,,72.58,,,screener,2026-06-11T12:45:34.591728+05:30
