ticker,as_of_date,market_cap_cr,enterprise_value_cr,pe,ev_ebitda,pb,ps,roe,roce,roa,industry_pe,historical_pe_3y,historical_pe_5y,historical_pe_10y,avg_roe_3y,avg_roe_5y,debt_equity,current_ratio,interest_coverage,revenue_ttm,ebitda_ttm,pat_ttm,revenue_growth_1y,revenue_growth_3y,revenue_growth_5y,ebitda_margin,pat_margin,ebitda_growth_1y,pat_growth_1y,pat_growth_3y,pat_growth_5y,promoter_holding,fii_holding,dii_holding,public_holding,latest_result_date,result_quarter,cash,total_debt,working_capital_days,cfo_ttm,source,ingested_at
JWL,2026-06-11,11438.57,11992.88,62.47,30.03,3.79,3.92,6.39,9.16,4.09,66.74,52.83,45.22,45.22,14.29,13.9,0.33,2.0,4.78,2915.7,,,,12.13,23.97,12.13,,,14.97,14.97,27.95,68.31,4.19,0.78,26.7,,,,996.46,,,screener,2026-06-11T12:45:34.591728+05:30
JYOTICNC,2026-06-11,14486.87,15202.5,43.13,25.89,7.21,6.92,18.22,21.32,10.49,30.85,76.07,76.07,76.07,19.78,17.46,0.43,2.26,7.69,2093.13,,,,31.08,31.51,25.17,,,156.89,156.89,44.74,62.54,8.95,13.68,14.82,,,,852.75,,,screener,2026-06-11T12:45:34.591728+05:30
KAJARIACER,2026-06-11,17432.36,16905.83,33.54,18.4,5.68,3.61,17.9,23.27,13.4,35.81,48.58,48.05,43.22,15.35,16.01,0.07,2.97,33.12,4830.36,,,,3.3,11.68,17.91,,,14.0,14.0,10.72,47.69,10.23,27.47,14.6,,,,228.59,,,screener,2026-06-11T12:45:34.591728+05:30
KALYANKJIL,2026-06-11,34483.23,39739.65,25.05,14.72,5.46,0.96,24.8,20.52,7.69,16.01,69.26,47.22,45.56,19.28,16.59,0.97,1.3,5.26,35742.86,,,,36.44,33.05,6.97,,,44.48,44.48,195.14,62.86,14.55,14.13,8.46,,,,6117.33,,,screener,2026-06-11T12:45:34.591728+05:30
KARURVYSYA,2026-06-11,26371.2,139505.11,10.47,14.75,1.87,2.38,19.28,7.64,1.96,14.66,10.04,9.69,10.89,18.16,16.08,8.38,2.11,1.54,11074.35,,,,19.33,15.15,66.56,,,31.45,31.45,47.53,2.07,19.25,39.26,39.4,,,,118288.3,,,screener,2026-06-11T12:45:34.591728+05:30
KAYNES,2026-06-11,20518.93,20633.21,56.09,28.23,4.33,5.66,9.64,13.24,6.34,30.85,119.52,113.81,113.81,10.19,10.86,0.19,2.23,5.33,3626.35,420.0,275.0,32.5,38.5,53.89,15.83,12.5,38.5,56.68,56.68,108.32,53.46,7.28,15.13,24.12,2025-02-02,Q3FY25,1200.0,912.87,80.0,280.0,screener,2026-06-11T12:45:34.591728+05:30
KEC,2026-06-11,12924.02,17789.85,19.86,10.41,2.12,0.55,11.31,14.5,2.75,17.24,56.94,40.6,22.87,10.86,9.69,0.87,1.23,2.28,23505.54,2000.0,1250.0,15.8,12.5,12.38,7.06,6.6,22.5,54.88,54.88,3.49,50.1,9.84,26.86,13.18,2025-01-30,Q3FY25,2500.0,5377.76,105.0,780.0,screener,2026-06-11T12:45:34.591728+05:30
KEI,2026-06-11,49553.17,48293.55,53.93,34.8,7.49,4.22,14.75,20.07,11.35,26.7,51.88,46.13,29.95,16.19,17.05,0.04,2.96,20.22,11747.77,,,,19.36,22.95,10.46,,,24.38,24.38,27.78,35.0,27.27,25.83,11.88,,,,253.02,,,screener,2026-06-11T12:45:34.591728+05:30
KFINTECH,2026-06-11,13973.97,13817.15,39.59,24.18,8.37,10.74,22.9,30.48,15.6,40.14,51.86,49.31,49.31,24.0,24.86,0.03,3.28,103.43,1301.49,,,,21.81,22.02,40.64,,,21.68,21.68,49.53,22.86,26.26,25.22,25.66,,,,55.44,,,screener,2026-06-11T12:45:34.591728+05:30
KIMS,2026-06-11,30872.73,35050.93,124.49,42.19,13.73,7.91,11.31,9.29,3.7,45.75,68.9,48.56,48.56,15.58,18.45,1.89,0.76,2.7,3904.6,,,,21.12,24.04,20.54,,,-8.61,-8.61,4.19,34.11,14.57,32.5,18.82,,,,4252.9,,,screener,2026-06-11T12:45:34.591728+05:30
KIRLOSENG,2026-06-11,26195.36,30319.23,44.16,20.41,7.28,3.4,17.7,14.72,5.45,41.28,30.46,21.17,22.78,16.96,15.24,1.48,1.39,2.51,7701.01,,,,15.33,18.5,18.38,,,22.59,22.59,25.35,41.07,10.79,26.69,21.45,,,,5374.33,,,screener,2026-06-11T12:45:34.591728+05:30
KOTAKBANK,2026-06-11,387068.48,998120.6,20.44,18.07,2.14,5.55,11.23,6.93,2.02,14.66,20.39,22.36,32.99,13.67,13.73,3.66,2.26,1.87,69781.21,,,,18.3,16.28,25.02,,,8.43,8.43,13.8,25.87,26.4,36.19,11.54,,,,662333.86,,,screener,2026-06-11T12:45:34.591728+05:30
